tripDate,tripCount,avgFare,avgTip,avgDurationSec,avgDistanceMiles,totalFares,totalTip,totalSeconds,totalMiles
01/2019,8784478,$13.66,$0.51,1014,5.73,"$119,983,302.82","$4,448,720","8,903,421,702","50,333,366.40"
02/2019,8849200,$14.06,$0.51,1056,5.81,"$124,418,297.86","$4,535,316","9,349,134,826","51,445,089.10"
03/2019,10268356,$14.34,$0.53,1062,5.94,"$147,279,458.41","$5,488,672","10,909,135,593","61,016,779.30"
04/2019,9110255,$15.41,$0.58,1093,6.14,"$140,386,771.43","$5,295,212","9,959,520,865","55,901,525.80"
05/2019,9570820,$16.26,$0.64,1144,6.27,"$155,656,254.58","$6,103,694","10,950,130,553","59,985,390.50"
06/2019,9229938,$16.85,$0.68,1124,6.32,"$155,499,761.78","$6,284,120","10,371,189,034","58,312,112.40"
07/2019,9138818,$15.54,$0.69,1122,6.31,"$142,011,045.48","$6,307,535","10,254,335,578","57,704,060.90"
08/2019,9407139,$15.66,$0.70,1122,6.43,"$147,321,318.53","$6,577,676","10,552,596,201","60,516,776.90"
09/2019,8916392,$16.04,$0.74,1132,6.53,"$143,056,768.13","$6,562,611","10,093,523,483","58,225,010.50"
10/2019,9500519,$15.99,$0.71,1126,6.63,"$151,888,372.41","$6,790,031","10,697,467,101","62,994,242.90"
11/2019,9305449,$19.96,$0.66,1087,6.48,"$185,758,722.65","$6,105,906","10,113,702,379","60,306,285.20"
12/2019,9177940,$15.51,$0.66,1065,6.49,"$142,343,113.59","$6,078,258","9,772,987,043","59,541,981.20"
