day,hour,count,prop
0,0,22118,7.61
0,1,13406,7.14
0,2,9566,6.91
0,3,8327,9.79
0,4,15409,13.25
0,5,24294,13.4
0,6,35402,10.28
0,7,53348,7.45
0,8,67144,6.36
0,9,61466,6.95
0,10,48557,7.99
0,11,46378,8.11
0,12,47319,7.72
0,13,47378,7.81
0,14,46646,7.64
0,15,50165,7.63
0,16,54644,6.93
0,17,64268,6.28
0,18,66846,5.75
0,19,61126,6.14
0,20,52766,6.67
0,21,50011,6.79
0,22,40873,6.64
0,23,27823,6.88
1,0,22851,7.37
1,1,13998,7.08
1,2,9474,6.46
1,3,7921,8.84
1,4,13553,11.81
1,5,24269,11.44
1,6,40475,9.0
1,7,67696,6.54
1,8,85667,5.63
1,9,76275,6.26
1,10,58174,7.11
1,11,57278,7.28
1,12,57756,7.22
1,13,58522,7.42
1,14,58565,7.4
1,15,64954,7.38
1,16,72863,6.65
1,17,85697,5.71
1,18,92126,5.45
1,19,87103,5.86
1,20,75724,6.34
1,21,69924,6.45
1,22,56913,6.31
1,23,41175,6.6
2,0,24915,6.78
2,1,14539,6.38
2,2,9826,6.41
2,3,8271,8.73
2,4,13449,11.38
2,5,24022,10.84
2,6,41761,8.64
2,7,72448,6.2
2,8,91845,5.45
2,9,80832,6.01
2,10,62010,6.98
2,11,60196,7.27
2,12,61458,7.29
2,13,61545,7.48
2,14,62042,7.5
2,15,69924,7.48
2,16,75726,6.79
2,17,90136,5.91
2,18,98676,5.41
2,19,94307,5.81
2,20,81415,6.41
2,21,77291,6.59
2,22,63745,6.44
2,23,45367,6.38
3,0,29051,6.73
3,1,17163,6.5
3,2,11453,6.56
3,3,9290,8.9
3,4,14229,11.46
3,5,24573,11.01
3,6,42776,8.67
3,7,71587,6.44
3,8,91125,5.53
3,9,80620,6.17
3,10,63022,7.11
3,11,61808,7.43
3,12,64484,7.55
3,13,66190,7.6
3,14,67176,7.6
3,15,74552,7.51
3,16,84092,6.65
3,17,99328,5.92
3,18,110969,5.58
3,19,107030,5.86
3,20,95532,6.41
3,21,92968,6.51
3,22,86366,6.22
3,23,64626,6.17
4,0,36541,6.52
4,1,20681,6.55
4,2,13270,6.4
4,3,10179,8.51
4,4,13916,11.17
4,5,21370,11.27
4,6,35301,8.95
4,7,56881,6.76
4,8,72706,5.89
4,9,65988,6.44
4,10,58615,7.13
4,11,56864,7.55
4,12,60857,7.55
4,13,61167,7.56
4,14,62254,7.36
4,15,67485,7.18
4,16,77659,6.36
4,17,90741,5.81
4,18,105003,5.42
4,19,109806,5.42
4,20,91137,5.61
4,21,89199,5.78
4,22,95096,5.79
4,23,88280,5.78
5,0,73084,5.69
5,1,55965,5.58
5,2,38382,5.65
5,3,23583,6.64
5,4,16535,8.36
5,5,15654,10.43
5,6,21260,9.82
5,7,30347,8.39
5,8,41210,7.4
5,9,50781,7.05
5,10,61044,6.33
5,11,64762,6.18
5,12,69623,6.0
5,13,72456,5.91
5,14,76488,5.71
5,15,80284,5.75
5,16,86350,5.59
5,17,101750,5.29
5,18,114091,4.88
5,19,114910,4.81
5,20,99731,5.08
5,21,97843,5.32
5,22,104675,5.34
5,23,102004,5.62
6,0,89396,5.49
6,1,70164,5.48
6,2,53377,5.75
6,3,34683,6.62
6,4,22995,8.15
6,5,20797,9.65
6,6,21508,9.95
6,7,24584,9.11
6,8,30335,8.37
6,9,39708,8.1
6,10,51795,7.54
6,11,59006,7.41
6,12,60103,7.14
6,13,57992,7.34
6,14,57613,7.26
6,15,62853,7.36
6,16,62654,7.17
6,17,65332,7.08
6,18,67550,6.69
6,19,63309,6.8
6,20,54949,6.95
6,21,52502,7.04
6,22,44658,6.97
6,23,32222,7.12
