day,hour,Trip ID,Trip Miles
0,0,2397,5.69
0,1,1621,4.84
0,2,1152,3.88
0,3,997,4.56
0,4,1123,6.91
0,5,1880,8.81
0,6,3180,7.06
0,7,6089,4.34
0,8,9644,3.41
0,9,10648,3.8
0,10,10057,4.4
0,11,10199,4.28
0,12,10949,4.17
0,13,11102,4.16
0,14,10869,4.51
0,15,10989,4.42
0,16,11928,4.0
0,17,13567,3.58
0,18,13595,3.38
0,19,11216,3.85
0,20,8976,4.4
0,21,7339,5.02
0,22,5654,4.48
0,23,3473,4.51
1,0,2714,4.89
1,1,1775,4.24
1,2,1152,3.77
1,3,739,3.62
1,4,840,6.8
1,5,1635,7.53
1,6,3415,5.58
1,7,8249,3.56
1,8,13850,2.79
1,9,15142,3.21
1,10,13354,3.41
1,11,14368,3.62
1,12,15579,3.52
1,13,15512,3.56
1,14,15525,3.84
1,15,15819,4.02
1,16,17523,3.63
1,17,19735,3.02
1,18,18978,3.05
1,19,16210,3.67
1,20,12773,4.29
1,21,10279,4.39
1,22,7830,3.89
1,23,5137,3.81
2,0,3317,4.02
2,1,1862,3.62
2,2,1075,2.59
2,3,797,4.26
2,4,992,6.31
2,5,1640,8.11
2,6,3626,5.59
2,7,8866,3.53
2,8,14600,2.82
2,9,15710,3.24
2,10,14146,3.76
2,11,15402,3.71
2,12,16651,3.86
2,13,16506,3.92
2,14,16229,4.18
2,15,16968,4.18
2,16,18235,3.63
2,17,20261,3.3
2,18,19779,3.21
2,19,17462,3.72
2,20,14013,4.34
2,21,11438,4.79
2,22,8936,4.35
2,23,6053,4.27
3,0,3907,4.44
3,1,2602,3.84
3,2,1530,2.96
3,3,1015,3.98
3,4,1009,6.96
3,5,1662,8.2
3,6,3660,5.52
3,7,8723,3.71
3,8,13813,2.85
3,9,14945,3.13
3,10,13697,3.5
3,11,14909,3.61
3,12,16173,3.78
3,13,16512,3.86
3,14,16617,3.89
3,15,16912,4.08
3,16,18691,3.57
3,17,20644,3.15
3,18,20259,3.26
3,19,17963,3.89
3,20,14866,4.44
3,21,12441,4.75
3,22,10397,4.35
3,23,7274,3.9
4,0,4396,4.14
4,1,2995,3.54
4,2,1893,2.79
4,3,1284,3.22
4,4,1231,5.89
4,5,1563,8.28
4,6,2808,6.39
4,7,6272,4.08
4,8,9775,3.14
4,9,10873,3.47
4,10,10514,3.84
4,11,11938,4.19
4,12,13071,4.06
4,13,13482,4.17
4,14,13377,4.35
4,15,14497,4.06
4,16,15618,3.55
4,17,16317,3.16
4,18,15604,3.19
4,19,13777,3.74
4,20,10680,4.17
4,21,8729,4.52
4,22,8536,3.78
4,23,7703,3.38
5,0,6192,3.08
5,1,5594,2.48
5,2,4818,2.2
5,3,3674,2.21
5,4,2239,3.0
5,5,1267,5.61
5,6,1277,7.21
5,7,1963,5.94
5,8,2827,4.75
5,9,4253,5.07
5,10,5563,4.41
5,11,6320,4.42
5,12,7142,4.32
5,13,7546,4.07
5,14,7653,4.09
5,15,8107,3.83
5,16,8256,3.49
5,17,9783,3.12
5,18,10583,2.87
5,19,9725,2.89
5,20,7870,3.05
5,21,6712,3.09
5,22,6897,2.78
5,23,6944,2.84
6,0,6506,2.55
6,1,6134,2.3
6,2,5715,2.17
6,3,4493,2.37
6,4,3274,3.07
6,5,2429,4.88
6,6,2019,6.6
6,7,2224,6.88
6,8,2640,6.34
6,9,3700,5.8
6,10,5137,5.52
6,11,6103,5.45
6,12,6589,5.35
6,13,6651,5.46
6,14,7004,5.35
6,15,7576,5.44
6,16,7686,5.2
6,17,7713,5.21
6,18,7724,5.09
6,19,7187,5.35
6,20,6193,6.08
6,21,5647,6.35
6,22,4502,5.85
6,23,3166,5.33
