day,hour,values
0,0,0.0016534318540510115
0,1,0.0011181531228271547
0,2,0.0007946405906828391
0,3,0.0006877228028739501
0,4,0.0007746366174798857
0,5,0.001296809297294911
0,6,0.0021935391305307537
0,7,0.004200144580440805
0,8,0.006652355778251129
0,9,0.007344907126380964
0,10,0.006937239948348361
0,11,0.007035190437824892
0,12,0.007552534572384032
0,13,0.007658072775834097
0,14,0.007497351198031057
0,15,0.007580126259560519
0,16,0.008227841116028563
0,17,0.009358410498085137
0,18,0.009377724679108678
0,19,0.007736709084287086
0,20,0.0061915746024037875
0,21,0.005062384804706038
0,22,0.0039000849823965034
0,23,0.002395648239098524
1,0,0.0018720959749246747
1,1,0.0012243811184566313
1,2,0.0007946405906828391
1,3,0.0005097564205856059
1,4,0.0005794254307062368
1,5,0.0011278102133389252
1,6,0.0023556402926926175
1,7,0.005690095687971128
1,8,0.009553621684858786
1,9,0.01044483318065933
1,10,0.009211484763870341
1,11,0.009910934033794299
1,12,0.010746272363062456
1,13,0.01070005628704184
1,14,0.010709023585374199
1,15,0.01091182248612138
1,16,0.012087228359839747
1,17,0.013613048660699505
1,18,0.01309087598088448
1,19,0.011181531228271546
1,20,0.00881071550763186
1,21,0.007090373812177867
1,22,0.005401072764797422
1,23,0.003543462425640403
2,0,0.0022880406591102233
2,1,0.0012843930380654917
2,2,0.0007415265928681007
2,3,0.0005497643669915128
2,4,0.0006842738419768893
2,5,0.0011312591742359862
2,6,0.0025011864425485888
2,7,0.006115697462668448
2,8,0.010070965819417925
2,9,0.010836635138565453
2,10,0.009757800169964793
2,11,0.0106241791473065
2,12,0.01148572957939232
2,13,0.011385709713377554
2,14,0.011194637279680378
2,15,0.011704393700265985
2,16,0.012578360391581224
2,17,0.013975879347070315
2,18,0.01364339951659364
2,19,0.012045151036895603
2,20,0.009666057810102973
2,21,0.007889842948116592
2,22,0.0061639829152273
2,23,0.004175312061981966
3,0,0.0026950180449634136
3,1,0.0017948392508305097
3,2,0.0010553820345006457
3,3,0.0007001390621033694
3,4,0.0006960003090268964
3,5,0.0011464346021830543
3,6,0.0025246393766486033
3,7,0.006017057181012505
3,8,0.009528099374220535
3,9,0.01030894412131513
3,10,0.009448083481408721
3,11,0.010284111602856291
3,12,0.011156008917633296
3,13,0.011389848466454027
3,14,0.011462276645292306
3,15,0.0116657653382189
3,16,0.012892905625393181
3,17,0.014240069751785182
3,18,0.01397449976271149
3,19,0.01239073691878111
3,20,0.010254450539141568
3,21,0.008581704504067015
3,22,0.007171769289348505
3,23,0.005017548313044246
4,0,0.0030323264206959725
4,1,0.002065927577339499
4,2,0.0013057765956272693
4,3,0.0008856931583652477
4,4,0.0008491341728564018
4,5,0.0010781451764212478
4,6,0.0019369364397894202
4,7,0.004326376549273235
4,8,0.006742718553754125
4,9,0.007500110366748706
4,10,0.0072524749743397305
4,11,0.008234739037822686
4,12,0.009016273577096692
4,13,0.009299778162835101
4,14,0.00922734998399682
4,15,0.009999917224938471
4,16,0.010773174258059532
4,17,0.01125533899146865
4,18,0.01076351716754776
4,19,0.009503266855761696
4,20,0.007366980476122154
4,21,0.006021195934088978
4,22,0.0058880660434624255
4,23,0.005313469158012074
5,0,0.00427119317492026
5,1,0.0038586974516317723
5,2,0.0033234187204079155
5,3,0.002534296467160374
5,4,0.001544444689703886
5,5,0.0008739666913152405
5,6,0.0008808646131093624
5,7,0.0013540620481861225
5,8,0.0019500424911982517
5,9,0.00293368613904003
5,10,0.0038373138940699944
5,11,0.00435948657388502
5,12,0.004926495745361838
5,13,0.005205171785844361
5,14,0.005278979549041465
5,15,0.005592145198494597
5,16,0.005694924233227014
5,17,0.006748236891189422
5,18,0.007300070634719172
5,19,0.006708228944783515
5,20,0.005428664451973909
5,21,0.004629885108214597
5,22,0.004757496661405852
5,23,0.004789916893838225
6,0,0.004487787919255686
6,1,0.004231185228514353
6,2,0.003942162305340647
6,3,0.003099236262098955
6,4,0.0022583795953954994
6,5,0.0016755052037922015
6,6,0.0013926904102332049
6,7,0.0015340978070127033
6,8,0.0018210513536481728
6,9,0.002552231063825091
6,10,0.003543462425640403
6,11,0.004209801670952576
6,12,0.004545040670146898
6,13,0.004587807785270454
6,14,0.004831304424602956
6,15,0.005225865551226726
6,16,0.005301742690962067
6,17,0.005320367079806196
6,18,0.00532795479377973
6,19,0.004957536393435386
6,20,0.004271882967099672
6,21,0.003895256437140618
6,22,0.0031054443917136647
6,23,0.002183882040018983
